File Path,Total Links,Wikilinks,Wikilinks with Alias,Wikilinks with Path,Wikilinks with Leading Slash,Markdown Links,Markdown Links with Leading Slash,External Links,Has Leading Slash Issues
"README.md",26,0,0,0,0,18,0,8,NO
"CONTRIBUTING.md",3,0,0,0,0,2,0,1,NO
"index.md",6,0,0,0,0,5,0,1,NO
"tags/tags.md",85,0,0,0,0,85,0,0,NO
"tags/progress.md",6,0,0,0,0,6,0,0,NO
"tags/ephemeral-cell.md",1,0,0,0,0,1,0,0,NO
"tags/policies.md",4,0,0,0,0,4,0,0,NO
"tags/autonomy.md",12,0,6,6,0,0,0,0,NO
"tags/agents.md",20,0,0,0,0,20,0,0,NO
"tags/actions.md",11,0,0,0,0,11,0,0,NO
"tags/self-governance.md",23,3,0,3,0,12,0,5,NO
"tags/solidarity-economics.md",6,0,0,0,0,6,0,0,NO
"tags/polycentric.md",30,3,0,3,0,16,0,8,NO
"tags/peer-to-peer.md",22,3,0,3,0,11,0,5,NO
"tags/mutual-credit.md",7,0,0,0,0,7,0,0,NO
"tags/mutualism.md",7,0,0,0,0,7,0,0,NO
"tags/local-first.md",24,3,0,3,0,12,0,6,NO
"tags/fractal.md",29,3,0,3,0,15,0,8,NO
"tags/emergence.md",26,3,0,3,0,14,0,6,NO
"tags/distributed.md",24,3,0,3,0,12,0,6,NO
"tags/scale.md",10,0,0,0,0,10,0,0,NO
"tags/protocols.md",11,0,0,0,0,9,0,2,NO
"tags/privacy.md",8,0,0,0,0,8,0,0,NO
"tags/primitives.md",12,3,3,6,0,0,0,0,NO
"tags/local-nodes.md",4,0,0,0,0,4,0,0,NO
"tags/groups.md",5,0,0,0,0,5,0,0,NO
"tags/goals.md",8,0,0,0,0,8,0,0,NO
"tags/frameworks.md",12,0,0,0,0,12,0,0,NO
"tags/culture.md",13,1,0,1,0,11,0,0,NO
"tags/coordination.md",13,0,0,0,0,13,0,0,NO
"tags/coordi-nations.md",4,0,0,0,0,4,0,0,NO
"tags/community.md",6,0,0,0,0,6,0,0,NO
"tags/p2p-payments.md",0,0,0,0,0,0,0,0,NO
"tags/participatory-governance.md",0,0,0,0,0,0,0,0,NO
"tags/impact-attestations.md",0,0,0,0,0,0,0,0,NO
"tags/treasury.md",24,4,9,11,0,0,0,0,NO
"tags/semiotic-bridging.md",5,0,0,0,0,3,0,2,NO
"tags/governance.md",20,0,0,0,0,20,0,0,NO
"tags/resources.md",21,1,11,9,0,0,0,0,NO
"tags/grants.md",22,2,10,10,0,0,0,0,NO
"tags/digital-rights.md",0,0,0,0,0,0,0,0,NO
"tags/wallets.md",16,0,8,8,0,0,0,0,NO
"tags/solidarity.md",6,0,0,0,0,6,0,0,NO
"tags/regeneration.md",8,0,0,0,0,8,0,0,NO
"tags/refi.md",6,0,0,0,0,6,0,0,NO
"tags/proto-dao.md",6,0,0,0,0,6,0,0,NO
"tags/mutual-aid.md",6,0,0,0,0,6,0,0,NO
"tags/cooperatives.md",6,0,0,0,0,6,0,0,NO
"tags/complementary-currencies.md",6,0,0,0,0,6,0,0,NO
"tags/data-sovereignty.md",11,0,0,0,0,11,0,0,NO
"tags/transparency.md",9,0,0,0,0,9,0,0,NO
"tags/vision.md",6,0,0,0,0,6,0,0,NO
"tags/values.md",5,0,0,0,0,5,0,0,NO
"tags/eligibility.md",12,0,0,0,0,9,0,3,NO
"tags/accountability.md",1,0,0,0,0,1,0,0,NO
"tags/authorities.md",0,0,0,0,0,0,0,0,NO
"tags/responsibilities.md",8,0,0,0,0,8,0,0,NO
"tags/Patterns.md",1,0,0,0,0,1,0,0,NO
"tags/cosmolocalism.md",0,0,0,0,0,0,0,0,NO
"tags/localism.md",2,0,0,0,0,2,0,0,NO
"tags/consent.md",0,0,0,0,0,0,0,0,NO
"tags/consensus.md",3,1,0,1,0,1,0,0,NO
"tags/payments.md",0,0,0,0,0,0,0,0,NO
